 Average                 ," NO_
AJMER "," NO2_
AJMER "," NOX_
AJMER "," NH3_
AJMER "," SO2_
AJMER "," CO_
AJMER "," O3_
AJMER "," PM10_
AJMER "," PM2.5_
AJMER "," BENZ_
AJMER "," TOLUENE_
AJMER "," ETHYBEZ_
AJMER ", MP_XYLENE_AJMER ,"OXYLENE_
AJMER "," TEMP_
AJMER "," RH_
AJMER "," WS_
AJMER "," WD_
AJMER "," BP_
AJMER "," SR_
AJMER "," RG_
AJMER "
                  , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , mg/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , degreC , % , m/s , degre----- , mmHg , W/m2 , m m 
43726.708333333336,,,,,4.53,0.95,59.08,128.30000000000001,22.2,0,0,0,0,0,39.1,42.79,0.15,35.42,0.28000000000000003,726.7,367.47
43726.75,5.54,19.75,14.21,19.32,6.19,1.78,58.36,148.80000000000001,40.26,0,0,0.11,0,0,38.42,43.76,0.38,161.22999999999999,0.23,726.2,146.55000000000001
43726.791666666664,4.13,18.309999999999999,11.8,19.559999999999999,6.93,1.5,57.25,171.2,37.700000000000003,0,0,0.5,0,0,37.07,46.58,0.4,216.16,0.26,724.6,19.59
43726.833333333336,5.0999999999999996,17.54,12.01,20.79,9.58,1.25,26.03,189.5,36.520000000000003,0,0,0.25,0,0,35.840000000000003,50.1,0.35,247.4,0.2,723.1,10.6
43726.875,7.14,21.2,16.21,23.24,10.23,0.5,10.64,227.3,43.81,0,0,2.39,0,0,35.090000000000003,51.77,0.27,265.37,0.15,722.3,13.45
43726.916666666664,4.6399999999999997,13.46,8.59,32.21,6.16,1.58,10.16,220.4,57.93,0,0,1.05,0,0,34.44,53.5,0.26,263.19,0.12,721.6,14.96
43726.958333333336,1.83,19.670000000000002,10.32,31.02,5.14,2.7,8.4600000000000009,206.4,59.84,0,0,1,0.27,0,33.979999999999997,54.75,0.06,319.14999999999998,0.34,721.4,14.77
43727,3,19.12,11.68,31.34,6.58,0.43,6.33,209.7,57.19,0,0,0.56999999999999995,0,0,33.880000000000003,54.64,0.12,295.45999999999998,0.39,721.5,16.62
43727.041666666664,6.13,20.74,15,30.93,7.9,0.15,7.1,141.5,84.41,0,0.17,0.27,0.17,0,33.590000000000003,55.38,0.09,233.85,0.3,721.6,16.73
43727.083333333336,1.63,16.84,8.17,31.49,7.34,0.46,7.05,200.3,97.28,0,0,0.01,0.21,0,32.840000000000003,59.22,0.47,172.35,0.3,721.8,17.55
43727.125,2.1800000000000002,19.329999999999998,10.48,31.45,5.79,1.04,9.17,201.2,87.53,0,0.39,0,0,0,31.75,63.17,0.41,153.25,0.25,721.7,15.78
43727.166666666664,3.05,22.2,13,30.82,5.59,0.95,8.2899999999999991,159.19999999999999,82.04,0,0,0,0,0,31.11,61.96,0.26,148.29,0.24,721.6,15.25
43727.208333333336,8.26,22.39,17.440000000000001,30.18,5.07,0.55000000000000004,8.27,127.3,70.64,0,0,0,0,0,30.83,59.96,0.32,144.44,0.23,721.3,15.74
43727.25,5.79,16.87,11.89,30.9,5.87,0.91,10.77,119.1,70.59,0,0,0,0,0,30.63,59.27,0.21,145.19999999999999,0.23,721,16.25
43727.291666666664,1.99,17.420000000000002,9.7899999999999991,31.19,5.07,1.23,6.28,100.4,64.91,0,0,0,0,0,30.59,59.45,0.22,136.93,0.23,720.6,25.2
43727.333333333336,3.21,19.43,11.36,30.75,4.1500000000000004,1.31,7.03,123.9,59.38,0,0,0,0,0,31.67,56.77,0.14000000000000001,152.96,0.2,720.5,80.03
43727.375,8.65,33.22,23.05,40.57,4.37,1,,142.6,63.45,0,0.32,0,0,0,32.96,54.37,0.54,168.94,0.2,721.3,251.37
43727.416666666664,5.71,36.28,22.59,37.51,6.85,0.71,,152.19999999999999,81.63,0,0.02,0,0,0,34.1,53.59,0.79,181.66,0.22,722.3,460.38
43727.458333333336,5.08,31.98,19.64,26.87,6.2,0.83,48.01,163.6,86.65,,,,,,35.31,52.24,0.83,186.3,0.38,723.3,604.29999999999995
43727.5,0.88,29.66,12.21,28.66,5.44,1.96,43.19,152.69999999999999,1.67,,,,,,36.799999999999997,49.82,0.7,197.29,0.42,724.5,702.51
43727.541666666664,2.0099999999999998,22.66,12.46,21.45,4.5,2.58,45.68,116.6,84.28,,,,,,37.36,48.15,0.4,182.21,0.42,725.4,700.96
43727.583333333336,8.16,28.8,21.05,19.77,3.8,0.59,43.27,114.9,52.15,,,,,,37.880000000000003,46.62,0.48,168.45,0.28000000000000003,726.1,709.11
43727.625,4.5999999999999996,22.18,14.68,20.61,5.99,0.17,50.27,124.3,35.840000000000003,,,,,,38.26,44.93,0.73,144.02000000000001,0.25,726.7,637.12
43727.666666666664,5.27,24.58,16.73,25.96,5.21,0.61,49.57,159.6,32.979999999999997,0.24,3.78,0.24,6.75,2.5099999999999998,38.549999999999997,44.74,0.54,163.03,0.23,726.8,445.42
43727.708333333336,2.3199999999999998,19.62,10.28,27.39,5.36,1.01,48.03,168.4,43.68,0,1.46,0,1.1599999999999999,0,38.51,44.2,1.02,159.12,0.23,726.3,324.55
43727.75,1.87,21.88,11.74,27.53,5.66,2.77,38.96,171.3,41.83,1.89,4.3,0,3.78,0,38,45.09,0.81,162.9,0.25,725.6,116.72
43727.791666666664,7.31,26.71,19.239999999999998,25.83,5.48,2.57,37.479999999999997,185.4,37.450000000000003,1.01,6.54,0,5.14,0,36.67,48.02,0.63,172.62,0.36,724.4,21.68
43727.833333333336,9.9700000000000006,26.18,21.52,25.42,10.19,0,40.619999999999997,205,33.89,1.31,7.7,0.65,8.4499999999999993,0.49,35.36,50.46,0.67,171.53,0.35,723.3,12.03
43727.875,5.19,22.97,16.350000000000001,42.79,10.25,,19.04,199.8,52.52,4.0999999999999996,7.95,1.42,11.14,3.32,34.56,51.21,0.75,175.75,0.4,722.5,13.58
43727.916666666664,6.86,26.91,21.25,45.93,6.06,3.08,12.49,184.7,50.42,2.84,8.31,0.1,3.45,0.51,33.94,52.34,0.83,174.52,0.41,722,14.58
43727.958333333336,2.93,24.68,17.02,47.32,4.68,3.3,7.85,153,61.29,0.89,3.4,0,2.06,0,33.29,54.31,0.89,172.4,0.41,721.8,15.28
43728,7.1,27.66,22.69,46.91,0,1.44,12.23,152.4,46.64,0.1,0,0,0.1,0,32.6,56.01,0.7,179.18,0.41,721.8,15.06
43728.041666666664,8.16,29.3,23.83,46.06,1.93,0.45,9.1,99.3,63.75,0,0,0,0,0,31.65,58.58,0.19,178.28,0.34,721.6,14.01
43728.083333333336,7.15,29.2,23.58,46.14,3.06,1.77,9.61,89.8,60.54,0,0,0,0,0,31.11,60.07,0.16,141.94999999999999,0.33,721.7,14.93
43728.125,12.36,26.63,24.91,33.96,3.14,1.43,8.43,105.7,44.91,0,0,0,0,0,30.87,60.29,0.23,143.97999999999999,0.27,721.7,15.87
43728.166666666664,7.32,14.31,12.94,27.04,7.43,0.68,7.89,105.9,51.45,0,0,0,0,0,30.94,59.86,0.26,159.99,0.23,721.9,16.899999999999999
43728.208333333336,5.79,18.2,13.64,26.71,5.66,1.48,8.9,102.4,52.5,0,0,0,0,0,30.64,60.49,0.34,149.28,0.23,721.6,17.11
43728.25,8.65,21.15,17.8,26.34,0.93,1.1399999999999999,6.64,101,43.29,0,0,0,0,0,30.12,61.5,0.38,150.94999999999999,0.23,721.3,16.23
43728.291666666664,12.5,20,20.27,26.03,3.1,0.13,10.01,106,35.74,0,0,0,0.41,0,29.85,62.47,0.41,147.33000000000001,0.23,720.9,24.45
43728.333333333336,5.48,10.24,9.16,29.09,,1.86,9.4,124.5,63.32,1.24,1.83,0,0,0,30.68,61.59,0.47,141.04,0.19,720.8,89.13
43728.375,11.62,20.7,20.67,28.84,5.49,1.61,41.01,206.4,63.32,0.79,1.6,0,0,0,31.93,59.19,0.72,152.66,0.26,721.5,253.61
43728.416666666664,9.16,23.01,21.15,35.83,6.27,1.35,53.13,182.6,63.32,0,0.47,0,0,0,33.369999999999997,55.62,0.73,160.74,0.27,722.8,455.64
43728.458333333336,7.63,21.3,18.93,36.28,7.23,1.67,49.19,176.2,63.32,0,2.63,0,1.07,0,34.58,51.99,0.72,180.13,0.25,724.4,600.12
43728.5,3.12,25.59,17.170000000000002,38.130000000000003,,,45.82,144.9,25.59,0.34,1.32,0,0.4,0,35.49,49.36,0.61,178.79,0.25,724.8,704.84
43728.541666666664,16.14,37.909999999999997,36.22,34.880000000000003,4.91,,49.3,36.799999999999997,476.32,1.41,1.82,0,0.87,0,36.08,47.76,0.7,158.1,0.28000000000000003,725.9,707.7
43728.583333333336,11.11,27.75,26.01,35.18,8.74,,51.87,74.900000000000006,262.13,0,0.18,0,0.13,0,36.46,46.32,0.9,153.69,0.32,726.7,725.06
43728.625,25.88,31.46,39.340000000000003,32.590000000000003,8.7100000000000009,0.06,48.33,133.5,137.62,0,2.63,0.51,2.97,0,36.630000000000003,46.06,1.04,157.47,0.38,727,636.94000000000005
43728.666666666664,3.27,7.96,6.62,39.04,7.5,0.26,50.88,133.80000000000001,82.82,0,0.12,0,0,0,37,45.34,0.67,112.97,0.44,738,438.71
43728.708333333336,2.4,19.37,12.58,37.14,5.17,2.46,52.74,140.4,55.41,0,1.1100000000000001,0,0,0,37.020000000000003,45.03,0.83,139.44999999999999,0.39,727.2,331.89
43728.75,4.5599999999999996,22.47,17.43,37.090000000000003,4.79,4.17,44.91,143.6,41.7,0.27,1.94,0,1.75,0,36.28,46.44,0.89,159.78,0.37,725.8,102.12
